Id,MSSubClass,MSZoning.FV,MSZoning.RH,MSZoning.RL,MSZoning.RM,LotFrontage,LotArea,Street.Pave,LotShape.IR2,LotShape.IR3,LotShape.Reg,LandContour.HLS,LandContour.Low,LandContour.Lvl,Utilities.NoSeWa,LotConfig.CulDSac,LotConfig.FR2,LotConfig.FR3,LotConfig.Inside,LandSlope.Mod,LandSlope.Sev,Neighborhood.Blueste,Neighborhood.BrDale,Neighborhood.BrkSide,Neighborhood.ClearCr,Neighborhood.CollgCr,Neighborhood.Crawfor,Neighborhood.Edwards,Neighborhood.Gilbert,Neighborhood.IDOTRR,Neighborhood.MeadowV,Neighborhood.Mitchel,Neighborhood.NAmes,Neighborhood.NoRidge,Neighborhood.NPkVill,Neighborhood.NridgHt,Neighborhood.NWAmes,Neighborhood.OldTown,Neighborhood.Sawyer,Neighborhood.SawyerW,Neighborhood.Somerst,Neighborhood.StoneBr,Neighborhood.SWISU,Neighborhood.Timber,Neighborhood.Veenker,Condition1.Feedr,Condition1.Norm,Condition1.PosA,Condition1.PosN,Condition1.RRAe,Condition1.RRAn,Condition1.RRNe,Condition1.RRNn,Condition2.Feedr,Condition2.Norm,Condition2.PosA,Condition2.PosN,Condition2.RRAe,Condition2.RRAn,Condition2.RRNn,BldgType.2fmCon,BldgType.Duplex,BldgType.Twnhs,BldgType.TwnhsE,HouseStyle.1.5Unf,HouseStyle.1Story,HouseStyle.2.5Fin,HouseStyle.2.5Unf,HouseStyle.2Story,HouseStyle.SFoyer,HouseStyle.SLvl,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle.Gable,RoofStyle.Gambrel,RoofStyle.Hip,RoofStyle.Mansard,RoofStyle.Shed,RoofMatl.CompShg,RoofMatl.Membran,RoofMatl.Metal,RoofMatl.Roll,RoofMatl.Tar.Grv,RoofMatl.WdShake,RoofMatl.WdShngl,Exterior1st.AsphShn,Exterior1st.BrkComm,Exterior1st.BrkFace,Exterior1st.CBlock,Exterior1st.CemntBd,Exterior1st.HdBoard,Exterior1st.ImStucc,Exterior1st.MetalSd,Exterior1st.Plywood,Exterior1st.Stone,Exterior1st.Stucco,Exterior1st.VinylSd,Exterior1st.Wd.Sdng,Exterior1st.WdShing,Exterior2nd.AsphShn,Exterior2nd.Brk.Cmn,Exterior2nd.BrkFace,Exterior2nd.CBlock,Exterior2nd.CmentBd,Exterior2nd.HdBoard,Exterior2nd.ImStucc,Exterior2nd.MetalSd,Exterior2nd.Other,Exterior2nd.Plywood,Exterior2nd.Stone,Exterior2nd.Stucco,Exterior2nd.VinylSd,Exterior2nd.Wd.Sdng,Exterior2nd.Wd.Shng,MasVnrArea,ExterQual,ExterCond,Foundation.CBlock,Foundation.PConc,Foundation.Slab,Foundation.Stone,Foundation.Wood,BsmtQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating.GasA,Heating.GasW,Heating.Grav,Heating.OthW,Heating.Wall,HeatingQC.Fa,HeatingQC.Gd,HeatingQC.Po,HeatingQC.TA,CentralAir.Y,Electrical.FuseF,Electrical.FuseP,Electrical.Mix,Electrical.SBrkr,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual.Fa,KitchenQual.Gd,KitchenQual.TA,TotRmsAbvGrd,Functional.Maj2,Functional.Min1,Functional.Min2,Functional.Mod,Functional.Sev,Functional.Typ,Fireplaces,GarageArea,GarageQual,PavedDrive.P,PavedDrive.Y,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType.Con,SaleType.ConLD,SaleType.ConLI,SaleType.ConLw,SaleType.CWD,SaleType.New,SaleType.Oth,SaleType.WD,SaleCondition.AdjLand,SaleCondition.Alloca,SaleCondition.Family,SaleCondition.Normal,SaleCondition.Partial,SalePrice
1,60,0,0,1,0,65,8450,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2003,2003,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,196,4,3,0,1,0,0,0,0,706,0,150,856,1,0,0,0,0,0,0,0,0,1,0,0,0,1,856,854,0,1710,1,0,2,1,3,1,0,1,0,8,0,0,0,0,0,1,0,548,9,0,1,0,61,0,0,0,0,0,2,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,208500
2,20,0,0,1,0,80,9600,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,8,1976,1976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,180,978,0,284,1262,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1262,0,0,1262,0,1,2,0,3,1,0,0,1,6,0,0,0,0,0,1,1,460,9,0,1,298,0,0,0,0,0,0,5,2007,0,0,0,0,0,0,0,1,0,0,0,1,0,181500
3,60,0,0,1,0,68,11250,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2001,2002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162,4,3,0,1,0,0,0,72,486,0,434,920,1,0,0,0,0,0,0,0,0,1,0,0,0,1,920,866,0,1786,1,0,2,1,3,1,0,1,0,6,0,0,0,0,0,1,1,608,9,0,1,0,42,0,0,0,0,0,9,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,223500
4,70,0,0,1,0,60,9550,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1915,1970,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,216,0,540,756,1,0,0,0,0,0,1,0,0,1,0,0,0,1,961,756,0,1717,1,0,1,0,3,1,0,1,0,7,0,0,0,0,0,1,1,642,9,0,1,0,35,272,0,0,0,0,2,2006,0,0,0,0,0,0,0,1,0,0,0,0,0,140000
5,60,0,0,1,0,84,14260,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,5,2000,2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350,4,3,0,1,0,0,0,144,655,0,490,1145,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1145,1053,0,2198,1,0,2,1,4,1,0,1,0,9,0,0,0,0,0,1,1,836,9,0,1,192,84,0,0,0,0,0,12,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,250000
6,50,0,0,1,0,85,14115,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1993,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,1,0,732,0,64,796,1,0,0,0,0,0,0,0,0,1,0,0,0,1,796,566,0,1362,1,0,1,1,1,1,0,0,1,5,0,0,0,0,0,1,0,480,9,0,1,40,30,0,320,0,0,700,10,2009,0,0,0,0,0,0,0,1,0,0,0,1,0,143000
7,20,0,0,1,0,75,10084,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2004,2005,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,186,4,3,0,1,0,0,0,180,1369,0,317,1686,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1694,0,0,1694,1,0,2,0,3,1,0,1,0,7,0,0,0,0,0,1,1,636,9,0,1,255,57,0,0,0,0,0,8,2007,0,0,0,0,0,0,0,1,0,0,0,1,0,307000
8,60,0,0,1,0,0,10382,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,1973,1973,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,240,3,3,1,0,0,0,0,240,859,32,216,1107,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1107,983,0,2090,1,0,2,1,3,1,0,0,1,7,0,0,0,0,0,1,2,484,9,0,1,235,204,228,0,0,0,350,11,2009,0,0,0,0,0,0,0,1,0,0,0,1,0,2.00E+05
9,50,0,0,0,1,51,6120,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1931,1950,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,952,952,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1022,752,0,1774,0,0,2,0,2,2,0,0,1,8,0,1,0,0,0,0,2,468,6,0,1,90,0,205,0,0,0,0,4,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,129900
10,190,0,0,1,0,50,7420,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,6,1939,1950,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,851,0,140,991,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1077,0,0,1077,1,0,1,0,2,2,0,0,1,5,0,0,0,0,0,1,2,205,12,0,1,0,4,0,0,0,0,0,1,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,118000
